,Ecosystem,Season,Time,Year_x,H_mean,LE_mean,Rn_mean,PVeff_x,PVe_mean,Sin_x,Sout_x,Lin_x,Lout_x,Year_y,H_sd,LE_sd,Rn_sd,PVeff_y,PVe_sd,Sin_y,Sout_y,Lin_y,Lout_y
80,Desert background,Spring,16:00,2018.0,67.05725,6.7724023,25.290749,0.058,0.0,304.22632,141.45763,356.78125,494.25922,0.0,29.18359152716294,3.804367715448477,56.326622629546115,0.0,0.0,30.862133939767148,53.27019911756749,14.891307098230577,14.337564939018472
81,Desert background,Spring,16:30,2018.0,43.874176,0.54219496,-43.22075,0.058,0.0,178.80931,95.151634,355.95087,482.82928,0.0,13.887067214960794,1.6989817845325845,61.704055099882865,0.0,0.0,22.50635575210538,58.79442030937411,14.917854489294864,12.808183456764954
82,Desert background,Spring,17:00,2018.0,17.264025,4.1844873,-99.45967,0.058,0.0,64.06314,47.45685,354.54266,470.6086,0.0,16.797976982565178,2.2380722900653502,44.041666642361236,0.0,0.0,15.409535620559627,52.523357333097415,14.885377084663384,11.13410287794547
83,Desert background,Spring,17:30,2018.0,-23.094992,-1.213828,-117.65216,0.058,0.0,12.593955,22.912422,352.95667,460.29037,0.0,17.63417142768536,0.7228993826408299,36.809992529088525,0.0,0.0,6.425046531270358,37.46844758059421,15.457972664690391,8.958083607346476
84,Desert background,Spring,18:00,2018.0,-25.894575,1.0921925,-113.32998,0.058,0.0,-0.44061553,10.706035,350.19183,452.37518,0.0,15.562389904313674,2.5265312983452115,25.917053653817728,0.0,0.0,0.8812310695648193,21.378527699625263,15.581757263390728,7.599747934718803
85,Desert background,Spring,18:30,2018.0,-23.557755,-0.55398005,-95.66901,0.058,0.0,0.0,0.0,350.9025,446.5715,0.0,10.039858421502403,3.273759961128235,10.324016300632362,0.0,0.0,0.0,0.0,16.44332558357307,6.794721783487484
86,Desert background,Spring,19:00,2018.0,-22.740633,-0.8738833,-92.80801,0.058,0.0,0.0,0.0,348.266,441.074,0.0,9.48817704824685,2.8441822415418505,10.313577768553126,0.0,0.0,0.0,0.0,15.229698434660072,6.464892906315891
87,Desert background,Spring,19:30,2018.0,-19.793705,-3.6446576,-90.946495,0.058,0.0,0.0,0.003268175,345.908,436.85123,0.0,12.152296296115777,2.5901869542051825,8.899514095336755,0.0,0.0,0.0,0.00653635011985898,14.552079316946287,7.126864120024852
88,Desert background,Spring,20:00,2018.0,-20.82827,-0.46062335,-88.17527,0.058,0.0,0.0,0.01366715,345.46576,433.62735,0.0,12.307259830342792,2.996857854900199,9.183659908175063,0.0,0.0,0.0,0.02733430080115795,13.429097209169369,7.1159755213193225
89,Desert background,Spring,20:30,2018.0,-20.552586,-2.7891822,-88.05567,0.058,0.0,0.0,0.00598875,343.12524,431.17493,0.0,9.166524289338296,1.7025358745799948,8.177053421758565,0.0,0.0,0.0,0.011977500282227995,10.574674145320714,6.859408023354611
90,Desert background,Spring,21:00,2018.0,-28.228401,-11.636783,-87.02977,0.058,0.0,0.0,1.17402e-05,341.8505,428.88025,0.0,11.762916072936092,23.742881856670213,8.24487990591343,0.0,0.0,0.0,2.3480399249820035e-05,7.806899783239738,5.642041187710718
91,Desert background,Spring,21:30,2018.0,-37.918076,-3.7535746,-83.04366,0.058,0.0,0.0,0.0001643585,343.518,426.5615,0.0,21.54040216468544,24.036835687835225,14.04027694128578,0.0,0.0,0.0,0.0003287169965915382,11.837407345749691,4.588879126400092
92,Desert background,Spring,22:00,2018.0,-26.22227,-1.5350537,-80.90783,0.058,0.0,0.0,8.609425e-05,343.457,424.36475,0.0,18.32613898777288,1.1358899055875002,17.404887055695685,0.0,0.0,0.0,0.00017218850553035736,16.32874431924271,4.99015203794969
93,Desert background,Spring,22:30,2018.0,-22.444727,-2.3213625,-84.66438,0.058,0.0,0.0,0.022605266,337.142,421.78378,0.0,18.463527882030462,2.6330827297820094,9.60350488561974,0.0,0.0,0.0,0.045158369141955826,7.950537912313677,5.014988656119759
94,Desert background,Spring,23:00,2018.0,-29.67365,-7.3733373,-87.54676,0.058,0.0,0.0,0.0,331.57123,419.118,0.0,11.638587476389409,11.379493109227756,6.187984533093579,0.0,0.0,0.0,0.0,6.278551082139732,6.082307408466149
95,Desert background,Spring,23:30,2018.0,-20.720253,-11.182743,-86.59599,0.058,0.0,0.0,0.0,329.62177,416.21774,0.0,15.047260012323626,19.43942925833082,6.013461718785179,0.0,0.0,0.0,0.0,5.458779443745359,6.103254108522989
96,Desert background,Summer,00:00,2019.0,-11.648523,-2.3312967,-88.91041,0.058,0.0,0.0,0.00023745833,389.94833,478.8585,0.0,5.02450680004061,2.9666275935292417,4.280042926684013,0.0,0.0,0.0,0.0005816517371074997,7.888512095424823,7.421097794029212
97,Desert background,Summer,00:30,2019.0,-8.371357,1.4102519,-89.17632,0.058,0.0,0.0,0.0,386.61884,475.79517,0.0,2.127013917575526,8.789909253029261,5.959974346255708,0.0,0.0,0.0,0.0,7.498504435427115,7.373751931792849
98,Desert background,Summer,01:00,2019.0,-10.930252,-3.4728084,-87.93946,0.058,0.0,0.0,0.0018110608,385.01382,472.95148,0.0,4.264657811542459,5.3209667166208385,6.999987800313349,0.0,0.0,0.0,0.004307097268897857,8.119978617190968,7.2442507744824685
