doy,time,shadow,panel,soil
95,04:15,31.163860379149014,51,17.836139620850986
95,04:30,30.289181967299164,51,18.710818032700836
95,04:45,29.444312583830925,51,19.555687416169075
95,05:00,28.629268313838683,51,20.370731686161317
95,05:15,27.84406467459305,51,21.15593532540695
95,05:30,27.08871661523635,51,21.91128338476365
95,05:45,26.36323851650751,51,22.63676148349249
95,06:00,25.66764419046506,51,23.33235580953494
95,06:15,25.001946880221098,51,23.998053119778902
95,06:30,24.366159259693184,51,24.633840740306816
95,06:45,23.76029343336223,51,25.23970656663777
95,07:00,23.184360936038566,51,25.815639063961434
95,07:15,22.638372732647454,51,26.361627267352546
95,07:30,22.122339218017096,51,26.877660781982904
95,07:45,21.636270216682266,51,27.363729783317734
95,08:00,21.180174982695064,51,27.819825017304936
95,08:15,20.754062199453287,51,28.245937800546713
95,08:30,20.35793997952811,51,28.64206002047189
95,08:45,19.99181586451577,51,29.00818413548423
95,09:00,19.655696824892573,51,29.344303175107427
95,09:15,19.349589259879686,51,29.650410740120314
95,09:30,19.073498997324887,51,29.926501002675113
95,09:45,18.82743129358888,51,30.17256870641112
95,10:00,18.611390833444165,51,30.388609166555835
95,10:15,18.42538172999162,51,30.57461827000838
95,10:30,18.269407524575442,51,30.730592475424558
95,10:45,18.143471186720365,51,30.856528813279635
95,11:00,18.047575114072174,51,30.952424885927826
95,11:15,17.98172113235408,51,31.01827886764592
95,11:30,17.94591049533065,51,31.05408950466935
95,11:45,17.94014388478545,51,31.05985611521455
95,12:00,17.964421410506212,51,31.035578589493788
95,12:15,18.018742610283464,51,30.981257389716536
95,12:30,18.10310644991984,51,30.89689355008016
95,12:45,18.217511323249866,51,30.782488676750134
95,13:00,18.361955052169584,51,30.638044947830416
95,13:15,18.536434886678844,51,30.463565113321156
95,13:30,18.740947504932368,51,30.259052495067632
95,13:45,18.975489013305143,51,30.024510986694857
95,14:00,19.240054946464685,51,29.759945053535315
95,14:15,19.53464026745749,51,29.46535973254251
95,14:30,19.859239367803397,51,29.140760632196603
95,14:45,20.213846067603274,51,28.786153932396726
95,15:00,20.598453615657398,51,28.401546384342602
95,15:15,21.013054689591705,51,27.986945310408295
95,15:30,21.457641395998863,51,27.542358604001137
95,15:45,21.932205270590416,51,27.067794729409584
95,16:00,22.43673727835312,51,26.56326272164688
95,16:15,22.971227813725505,51,26.028772186274495
95,16:30,23.535666700777423,51,25.464333299222577
95,16:45,24.13004319340684,51,24.86995680659316
95,17:00,24.75434597554114,51,24.24565402445886
95,17:15,25.40856316135614,51,23.59143683864386
95,17:30,26.092682295499696,51,22.907317704500304
95,17:45,26.80669035332956,51,22.19330964667044
95,18:00,27.550573741160953,51,21.449426258839047
95,18:15,28.324318296526275,51,20.675681703473725
95,18:30,29.12790928844619,51,19.87209071155381
95,18:45,29.961331417705004,51,19.038668582294996
95,19:00,30.824568817147174,51,18.175431182852826
95,19:15,31.717605051977284,51,17.282394948022716
95,19:30,32.64042312007234,51,16.35957687992766
95,19:45,33.593005452305235,51,15.406994547694765
95,20:00,34.57533391288412,51,14.424666087115881
95,20:15,35.58738979968945,51,13.412610200310553
95,20:30,36.62915384463663,51,12.370846155363367
95,20:45,37.700606214039894,51,11.299393785960106
96,04:00,30.85116929698988,51,18.14883070301012
96,04:15,30.000721208138966,51,18.999278791861034
96,04:30,29.17844634398936,51,19.82155365601064
96,04:45,28.38436035946902,51,20.61563964053098
96,05:00,27.61847837282963,51,21.38152162717037
96,05:15,26.880814965362752,51,22.119185034637248
96,05:30,26.171384181113297,51,22.828615818886703
96,05:45,25.49019952662143,51,23.50980047337857
96,06:00,24.83727397066233,51,24.16272602933767
96,06:15,24.212619943996245,51,24.787380056003755
96,06:30,23.616249339135777,51,25.383750660864223
96,06:45,23.048173510118637,51,25.951826489881363
96,07:00,22.508403272288135,51,26.491596727711865
96,07:15,21.996948902092214,51,27.003051097907786
96,07:30,21.513820136884675,51,27.486179863115325
96,07:45,21.059026174741287,51,27.940973825258713
96,08:00,20.632575674282503,51,28.367424325717497
96,08:15,20.234476754513082,51,28.765523245486918
96,08:30,19.864736994660667,51,29.135263005339333
96,08:45,19.523363434037492,51,29.476636565962508
96,09:00,19.21036257190494,51,29.78963742809506
96,09:15,18.92574036734743,51,30.07425963265257
96,09:30,18.669502239162437,51,30.330497760837563
96,09:45,18.441653065754632,51,30.558346934245368
96,10:00,18.242197185042002,51,30.757802814957998
96,10:15,18.071138394378906,51,30.928861605621094
96,10:30,17.92847995047714,51,31.07152004952286
96,10:45,17.814224569348518,51,31.185775430651482
96,11:00,17.728374426250276,51,31.271625573749724
96,11:15,17.670931155645597,51,31.329068844354403
96,11:30,17.64189585117122,51,31.35810414882878
96,11:45,17.641269065618157,51,31.358730934381843
96,12:00,17.66905081091928,51,31.33094918908072
96,12:15,17.72524055814983,51,31.27475944185017
96,12:30,17.809837237537984,51,31.190162762462016
96,12:45,17.922839238485338,51,31.077160761514662
96,13:00,18.064244409596608,51,30.935755590403392
96,13:15,18.23405005872138,51,30.76594994127862
96,13:30,18.43225295300417,51,30.56774704699583
96,13:45,18.65884931894798,51,30.34115068105202
96,14:00,18.9138348424844,51,30.0861651575156
96,14:15,19.197204669057108,51,29.802795330942892
96,14:30,19.508953403712788,51,29.491046596287212
96,14:45,19.849075111204762,51,29.150924888795238
96,15:00,20.21756331610666,51,28.78243668389334
96,15:15,20.614411002933494,51,28.385588997066506
96,15:30,21.039610616276835,51,27.960389383723165
96,15:45,21.49315406095051,51,27.50684593904949
96,16:00,21.975032702139984,51,27.024967297860016
96,16:15,22.485237365571205,51,26.514762634428795
96,16:30,23.023758337682047,51,25.976241662317953
96,16:45,23.590585365810206,51,25.409414634189794
96,17:00,24.18570765838517,51,24.81429234161483
96,17:15,24.809113885137194,51,24.190886114862806
96,17:30,25.46079217731039,51,23.53920782268961
96,17:45,26.140730127889366,51,22.859269872110634
96,18:00,26.8489147918351,51,22.1510852081649
96,18:15,27.58533268633224,51,21.41466731366776
96,18:30,28.349969791047222,51,20.650030208952778
96,18:45,29.142811548390256,51,19.857188451609744
96,19:00,29.96384286379757,51,19.03615713620243
96,19:15,30.81304810601674,51,18.18695189398326
96,19:30,31.6904111074037,51,17.3095888925963
96,19:45,32.595915164230334,51,16.404084835769666
96,20:00,33.52954303700721,51,15.470456962992792
96,20:15,34.49127695080382,51,14.508723049196178
96,20:30,35.48109859559341,51,13.518901404406591
96,20:45,36.4989891265986,51,12.501010873401398
97,04:00,29.63927093909778,51,19.36072906090222
97,04:15,28.84261193249425,51,20.15738806750575
97,04:30,28.0725140014073,51,20.9274859985927
97,04:45,27.328991807391283,51,21.671008192608717
97,05:00,26.612059506036225,51,22.387940493963775
97,05:15,25.92173074670218,51,23.07826925329782
97,05:30,25.258018672250664,51,23.741981327749336
97,05:45,24.620935918803493,51,24.379064081196507
97,06:00,24.010494615499184,51,24.989505384500816
97,06:15,23.42670638425909,51,25.57329361574091
97,06:30,22.869582339569977,51,26.130417660430023
97,06:45,22.33913308827158,51,26.66086691172842
97,07:00,21.83536872935145,51,27.16463127064855
97,07:15,21.358298853757482,51,27.641701146242518
97,07:30,20.907932544212272,51,28.092067455787728
97,07:45,20.48427837504164,51,28.51572162495836
97,08:00,20.0873444120093,51,28.9126555879907
97,08:15,19.717138212167626,51,29.282861787832374
97,08:30,19.373666823707147,51,29.626333176292853
97,08:45,19.05693678582815,51,29.94306321417185
97,09:00,18.766954128614852,51,30.233045871385148
